record_id,name,wikidata_id,birth_year,birth_date_en,birth_date_fr,birth_place,death_year,death_date_en,death_date_fr,death_place,last_name,first_name,gender,father,mother,family_details,discipline,education,student_of,prize_year,prize_details,subject_of_prize,arrival_year,rome_arrival_details,rome_stay_details,departure_year,rome_departure_details,envoi,career,appointments,awards,notes,century,regime,supervision,secretary_beaux_arts,director_academy,salons_expositions,representative_works,bibliography
6,Abel de Pujol,Q704494,1785,30 January 1785,30 janvier 1785,Valenciennes (Nord),1861,28 September 1861,28 septembre 1861,Paris,ABEL DE PUJOL,Alexandre-Denis-Joseph,male,"Père adoptif : Le Baron Alexandre-Denis-Joseph Pujol de Mortry, (ancien prévôt de Valenciennes, graveur, fondateur de l'école des beaux-arts de Valenciennes) l'adopte et lui permet de porter son nom en ajoutant Abel : Abel-de-Pujol (Note 1)",Marie-Anne Dehavalle (Alexandre est un enfant illégitime déclaré sous un faux nom).,"Abel de Pujol épouse Marie-Claudine Legrand en 1814 et, en deuxièmes noces, son élève Adrienne Grandpierre-Deverzy en 1856.",peinture,Les Académies de Valenciennes : atelier Momal (il obtient une bourse de la ville). Il va à Paris et entre dans l’atelier de Jacques-Louis David en 1803.,Jacques-Louis David,1811,1811,"""Lycurgue présentant aux Lacédémoniens l’héritier du trône"".",1811,Brevet : 5 octobre 1811. 10 juin 1812 (janvier 1812 selon J.-C. Poinsignon).,Part en octobre 1812 pour cause de maladie et parce qu’il a une compagne et deux enfants restés à Paris.,1812,octobre 1812,pas d'envoi,"Il participe à la fondation du Musée de Versailles. Il reçoit de nombreuses commandes pour des églises (Saint-Étienne du Mont, Notre-Dame de Paris, Saint-Sulpice, etc.). Il peint pour sa ville natale ""La ville de Valenciennes encourageant les arts"" en 1845 (détruite). Il décore le plafond de la salle des antiquités égyptiennes au Louvre (détruit en 1856). L’architecte Edmond Guillaume et le sculpteur Gustave Crauk ont réalisé le monument funéraire d’Abel de Pujol au cimetière Saint-Roch de Valenciennes en 1865.",Professeur à l’École des Beaux-arts de Paris (2 Grands prix sont issus de son atelier : Théophile Vauchelet et Émile Lévy).,"Médaille de seconde classe au Salon de 1810. Médaille d’or à l’exposition de 1810. Médaille de première classe au Salon de 1814. Chevalier de la Légion d’honneur en 1817. Officier de la Légion d’honneur en 1853. Membre de l’Académie des Beaux-arts : élu le 8 août 1835, 1ère section, fauteuil XII.","1) Poinsignon, J.-C., ""Courrier à Jacques Foucart"". Valenciennes, 2 octobre 1985. Documentation du musée du Louvre, Paris.",XIX,"Premier Empire : Napoléon 1er, 18 mai 1804-4 avril 1814","Ministère de l’Intérieur, 3e division : Barbier-Neuville. Bureau des beaux-arts : Amaury-Duval",Secrétaire perpétuel de l’Académie des Beaux-arts : Joachim Lebreton (1803-1815).,"Guillaume Guillon-Lethière, (1807-1816). Villa Médicis.","Il participe aux salons de 1814 (""La Mort de Britannicus)"", 1815, 1817, 1819, 1822, 1824, 1827, 1831, 1833. Vice-président en 1845. Il expose à Douai en 1817, 1825, 1829, 1832, 1833, et à Valenciennes en 1825, 1828, 1829, 1830, 1832.",Le plafond de la salle des antiquités égyptiennes au Louvre (détruit en 1856).,"Rouget, Georges, ""Notice sur Abel de Pujol, peintre d’histoire, membre de l’Institut"", Valenciennes, F. Prignet, 1861. Couder, Auguste, Institut impérial de France. Académie des beaux-arts. ""Funérailles de M. Abel de Pujol"". Le 30 septembre 1861. Paris : impr. de F. Didot frères, 1861. Couder, Auguste, Institut impérial de France. Académie des Beaux-Arts. ""Inauguration du monument élevé à la mémoire d’Abel de Pujol"", à Valenciennes, le lundi 24 avril 1865, Paris : F. Didot frères, (1865). Poinsignon, Jean-Claude, ""De l’art de la généalogie à la généalogie de l’art"". Association de généalogie de Flandres-Hainaut, Valenciennes, 1988."
7,Zéphirin Adam,Q26252242,1665,1665,Né vers 1665,Dieppe (Seine-Maritime) (Note 2),1685,1685,Actif entre 1685 et 1703.,,ADAM,Zéphirin (Note 1),male,,,,sculpture,Académie royale de peinture et de sculpture. Prix de quartier en octobre 1684 (2eM).,,1685,"16853 septembre, 1er prix (médaille d’or de 120 livres) (Note 3)","""Construction de l’arche de Noé""",1686,29 janvier 1686.,"Le pensionnaire termine des sculptures commencées par Jean-Baptiste Théodon avec son confrère Pierre Lepautre. Il copie les statues d’""Auguste"" et de ""Jules César"" d’après l’antique, en 1688. Il est protégé par le Pape Innocent XI et le Cardinal D’Estrées.",1691,24 avril 1691.,pas d'envoi,"Zéphirin Adam sculpte des chaloupes pour les canaux de Versailles. Il travaille au chœur de Saint-Louis des Invalides en 1691 et au Cabinet des Dames, à Marly, vers 1697. La statue d’""Auguste"", exécutée à Rome, y est installée en 1715.",,,"1) Le prénom est également orthographié Céraphin (Baltard) ou Séraphin.2) Geneviève Bresc-Bautier et Anne Pingeot, signalent un «Auguste», signé «Adam de Dieppe», dans Sculptures des jardins du Louvre, du Carrousel et des Tuileries, Paris, Éd. RMN, 1986.3) « 14 novembre 1685 - A Zéphirin Adam, élève sculpteur pour luy donner moyen de se rendre à l’Académie de Rome, 110 livres ».(Corr. 1, 153 ; extrait des Comptes des Bâtiments du roi, II, 1013).",XVII,Louis XIV (1661-1715),Louvois (1683-1691),,"Matthieu de La Teulière, (1684-1699). Palais Capranica.",,,"PV. II, 310. Corr. I, 151-153. ThB. 1, 1907. AKL, 92 I. BZ, 1976. Lami, 1, 3-4. Roman d’Amat, tome 1, 477. Bresc-Bautier, Geneviève, « La statuaire sous Louis XIV », Revue de l’art, année 1985, vol.69, 69-72. Baurmeister, U., Lafitte, M.P., Des livres et des rois, la bibliothèque royale de Blois, Paris, Éd. B.N., 1992. Société des amis du château et des musées de Blois. Bulletin spécial, juin 1995. « Une statue du parc de Ménars ‘César’ de Zéphirin Adam »."
8,Lambert-Sigisbert Adam,Q1564497,1700,10 October 1700,10 octobre 1700,Nancy (Meurthe-et-Moselle),1759,13 May 1759,13 mai 1759 (Note 1),Paris,ADAM,"Lambert-Sigisbert, l’aîné",male,"Père : Jacob-Sigisbert (v.1657-1747), sculpteur,","Sébastienne Léal, fille d’un orfèvre de Nancy.","Grand-père : Lambert Adam, fondeur, à l’origine de la dynastie des Adam de Nancy. Jacob est Sébastienne ont 7 enfants. Lambert-Sigisbert occupe le premier rang dans la fratrie.Frères : Nicolas-Sébastien (1705-1778), académicien en 1762. François-Gaspard-Balthasar (1710-1761), premier prix de sculpture en 1741. Une sœur, Anne, qui épouse Thomas Michel. Ils ont un fils, Clodion (1738-1814), 1er prix de sculpture en 1759.",sculpture,Académie royale de peinture et de sculpture en 1723.,"Son père, Jacob-Sigisbert Adam, à Metz.Puis atelier de François Dumont, à Paris.",1723,"28 août 1723, 1er prix (seul concurrent). Brevet du 30 juin 1723.","""Évilmérodach, fils et successeur de Nabuchodonosor, délivre Joachim des chaînes dans lesquelles son père le retenait enfermé depuis longtemps"".",1723,"Arrivée : 18 septembre 1723. Ses protecteurs sont le Pape Innocent XIII, la Cardinal Melchior de Polignac, ambassadeur de France près le Saint-Siège de 1724 à 1731 et le Cardinal de Tencin, chargé d'affaires.(Note 2)","Lambert-Sigisbert est considéré comme un excellent sculpteur. Il copie un Mars antique, Ulysse qui se sauve du naufrage et restaure Le Petit Faune. Il exécute les bustes de Neptune et d’Amphitrite. Il participe au projet de l’Abbé de Tencin qui commande en 1724 des statues pour l’escalier de la Trinité-des-Monts (Adam fait des esquisses mais le projet est abandonné en 1731). La même année, il obtient le Prix du Concours du pape Clément XII pour la Fontaine Trévi mais elle sera exécutée par Nicola Salvi. Son séjour est prolongé à l’académie. | Adam prend un atelier à Rome pour restaurer les antiques du Cardinal de Polignac. Il est membre de l’Académie de Saint-Luc (décembre 1732) et membre de l’Académie de Bologne.",1733,23 janvier 1733,,"Agréé le 25 avril 1733. Académicien le 25 mai 1737 (morceau de réception : Neptune contenant les flots). Sculpteur du roi. Logé au Louvre. | Lambert-Sigisbert travaille au château de Saint-Cloud (La Seine et la Marne 1733-1734), à Versailles (Triomphe de Neptune et d’Amphitrite pour le Bassin de Neptune en 1736-1740) au Palais de Sanssouci à Potsdam (La Chasse et la Pêche, de 1739 à 1749) et au château de Choisy (Louis XV en Apollon, 1749).","Adjoint à professeur (1737), professeur (1744).",,"1) La date de la mort de Lambert-Sigisbert retenue est celle donnée par le PV de l’Académie royale. On trouve par ailleurs le 12 ou le 14.2) Entre 1723 et 1733, trois Papes se sont succédés : Innocent XIII de 1721 à 1724 ; Benoit XIII, de 1724 à 1730 et Clément XII, de 1730 à 1740.",XVIII,Louis XV / Duc de Bourbon (1723-1726),Duc d’Antin (1708-1736),,"Charles-François Pœrson, (1704-1725). Palais Capranica.","Salons de 1737, 1738, 1739, 1740, 1741, 1742, 1743, 1745, 1746, 1747, 1748, 1750, 1751, 1753.","Versailles : ""Triomphe de Neptune et d’Amphitrite"" pour le Bassin de Neptune en 1736-1740.","PV. IV, 355. Corr. VI, 243-259. Jal, 17-19. Herluison, 1. Lami, 2, 2-9. AKL, 1992. Sanchez, 36-41.Thirion, H., ""Les Adam et Clodion"", Paris, A. Quantin, 1885. Jacquot, A., ""Les Adam et les Michel et Clodion"", Paris, J.Rouan, 1898. «Inventaire après décès du sculpteur Lambert-Sigisbert Adam», BSHAF, 181-191, année 1973. Fusco, P., «L.S. Adam’s Adieu to Rome», Antologia di Belle Arti, 7-8, décembre 1978, 225-232.Souchal, F., «Les Adam et les Michel, des Lorrains en Prusse» dans Clodion et la sculpture française de la fin du XVIIIe siècle : actes du colloque organisé par le Musée du Louvre, G. Scherf, (dir.) de Paris, La Documentation française, 1993. Bresc-Bautier, G., Leroy-Jay-Lemaistre, I., ""Sculpture française II. Renaissance et temps modernes"". vol.1. Adam-Gois, Éditions de la RMN, Paris, 1998. ""L’Antiquité rêvée, innovations et résistances au XVIIIe siècle"", G. Faroult, Ch. Léribault, G. Scherf (dir.), Paris, Musée du Louvre, 2 décembre 2010 - 14 février 2011. Gallimard, 2010."
9,François Gaspard Adam,Q1451049,1710,23 May 1710,Baptisé le 23 mai 1710,Nancy (Meurthe-et-Moselle),1761,18 August 1761,18 août 1761,Paris,ADAM,"François-Gaspard-Balthasar, le jeune",male,"Père : Jacob-Sigisbert (v.1657-1747), sculpteur","Sébastienne Léal, fille d’un orfèvre de Nancy.","Grand-père : Lambert Adam, fondeur, à l’origine de la dynastie des Adam de Nancy. | Jacob et Sébastienne ont 7 enfants. François-Gaspard occupe le 6ème rang dans la fratrie. Frères aînés : Lambert-Sigisbert (1700-1759), 1er Prix en 1723, académicien en 1737 et Nicolas-Sébastien (1705-1778), académicien en 1762. Une sœur, Anne épouse Thomas Michel. Ils ont un fils, Clodion (1738-1814), 1er prix de sculpture en 1759. | François-Gaspard épouse Anne-Charlotte Gervaise le 8 juillet 1751. Ils ont une fille, Madeleine-Caroline, qui sera guillotinée à la Révolution.",sculpture,"Académie royale de peinture et de sculpture en 1740. Prix de quartier, 1734 (2M).","Son père, Jacob-Sigisbert Adam.",1741,"1741, 1er prix. Brevet du 12 juin 1742.","""Guérison de Tobie ; moment où l’ange disparaît""",1742,3 novembre 1742,"Gaspard-Balthasar fait un premier voyage à Rome en 1730 pour retrouver son frère Lambert-Sigisbert. Il part d’Italie en janvier 1733. Il revient en 1742 comme pensionnaire à l’Académie de France à Rome. Appuyé par son frère, il demande une prolongation du séjour qui lui est refusée. | Protecteurs : le Pape Benoit XIV, le Cardinal de Polignac et l’Abbé de Canillac, chargé d’affaires.",1746,Juillet 1746,,"Premier sculpteur du roi Frédéric II de Prusse à Potsdam au château de Sanssouci (Apollon, Uranie, en 1748 ; Zéphyr et Flore en 1749 ; Vulcain en 1756 ; Cybèle en 1758), Il obtient une pension de Frédéric le Grand et revient en France en 1760. Il meurt l’année suivante.",,Premier sculpteur du roi Frédéric II de Prusse à Potsdam,,XVIII,Louis XV / Cardinal Fleury (1726-1743),"Philibert Orry, Comte de Vignory (1736-1745)",,"Jean-François De Troy, (1738-1751). Palais Mancini.",,"Château de Sanssouci (""Apollon, Uranie"", en 1748 ; ""Zéphyr et Flore"" en 1749 ; ""Vulcain"" en 1756 ; ""Cybèle"" en 1758)","PV. V, 304. Corr. IX, 485-486. Jal, 17-19. AKL, 1992. Lami, 2, 14-17. | Thirion, H., ""Les Adam et Clodion"", Paris, A.Quantin, 1885. Jacquot, A., ""Les Adam et les Michel et Clodion"", Paris, J. Rouan, 1898. | Souchal, F., «Les Adam et les Michel, des Lorrains en Prusse» dans Clodion et la sculpture française de la fin du XVIII e siècle : actes du colloque organisé par le Musée du Louvre, ss la dir. de G. Scherf, Paris, La Documentation française, 1993. | Bresc-Bautier, G., Leroy-Jay-Lemaistre, I., ""Sculpture française II. Renaissance et temps modernes"". vol.1 Adam-Gois, Éditions de la RMN, Paris, 1998."
10,André Marius Auguste Aillaud,Q105444922,1909,13 March 1909,13 mars 1909,Hanoï (Viet-Nam),1972,1972,1972,Paris,AILLAUD,André-Marius-Auguste,male,"Marius, officier d’administration de 1ère classe de l’Intendance coloniale",Adélaïde Jeay,,gravure en taille-douce,"École nationale des Beaux-arts de Paris, le 3 août 1930.","Henri Leriche, André Devambez, Lucien Penat, Louis Roger, Paul-Émile Colin",1938,1938 Pension à dater du 1er janvier 1939.,"""Judith""",1939,25 janvier 1939Pension à dater du 1er janvier 1939,"En raison de la guerre, les pensionnaires ne vont pas à Rome mais à Nice. André Aillaud est le premier pensionnaire présent à l’inauguration de la Villa Paradiso à Nice 8 novembre 1941 (le second est Reynold Arnould)(Note 1).",1939,Engagé volontaire en septembre 1939.La fin de pension est administrativement datée du 28 février 1944.,"3e année : ""Sainte Camille guérissant un malade""","Graveur, peintre. Il expose à la galerie Bassoul à Ajaccio 1947 et à Montpellier en 1948.",,"Mention honorable, 1935. Médaille d’argent, 1936. Médaille d’or, 1959. Prix Debedat de Gonzalva, 1959. Prix Rosa Bonheur, 1962. Prix Charles Durant 1962, 1964.",Note 1 : La Villa Médicis est séquestrée par le Gouvernement italien le 22 juin 1940. L’Académie de France à Rome s’installe à la Villa Paradiso à Nice. Robert Pougheon est nommé directeur à titre provisoire le 1er octobre 1942 en remplacement de Jacques Ibert.,XX,"IIIème République. Président : Albert Lebrun, 3 juin 1932-15 juin 1940","Ministère de l’Éducation nationale. Direction générale des Beaux-Arts Georges Huisman. Premier bureau, Enseignement : Siméon",Adolphe Boschot (1937-1955).,"Jacques Ibert 1, (1937-1940). Villa Médicis.",Il participe au Salon des artistes français depuis 1934. Secrétaire perpétuel. Hors-concours.,,AJ 52 /1141 ou 1157. AJ16 8888. Bénézit.
11,Camille Alaphilippe,Q2934846,1874,14 August 1874,14 août 1874,Tours (Indre et Loire).,1939,1939,Décédé après 1939 (date inconnue),Algérie (Note 1),ALAPHILIPPE,Camille ou Camille-Marie-Paul,male,"Gustave, marchand épicier",Louise Guilpin,,sculpture,"École des Beaux-arts de Tours (atelier Sicard) École nationale des beaux-arts de Paris, 31 juillet 1894","Louis-Ernest Barrias, François Sicard.",1898,1898,"""Caïn poursuivi par la vengeance céleste""",1898,30 décembre 1898. Pension à dater du 1er janvier 1899.,voir Envois,1902,31 décembre 1902,"1899, 1ère année | La Consolatrice. Vénus anadyomène, copie en marbre. | 1900, 2ème année. | Un pêcheur se préparant à lancer l’épervier. frise en grès cérame pour décorer la façade d’un asile. Esquisse. | 1901, 3ème année. | Préparation de l’envoi de 4ème année. | 1902, 4ème année. L’enfant. Groupe.","Sociétaire de la Fondation Salo ; de la Société coloniale des artistes français,1913 et de la fondation Taylor. Ses œuvres : La Femme au singe, 1908, Paris, musée du Petit-Palais. Il fait des décorations de céramique à Nevers, Mer, Versailles, Paris (Magasins Félix Potin). Fontaine des Dames d’Antan, Tours 1914. Il s’installe en Algérie en 1919. Il fait le Monument aux morts de Philippeville, 1924 et des Monuments aux morts en Algérie : Batna, Bougie, Mostaganem, Guelma, Saïda, Tebessa, Tipasa.","En 1914, il dirige l’atelier de sculpture de la fabrique de grès flammé Alexandre Bigot à Mer (Loiret). Chef d’atelier de sculpture à l’école des Beaux-arts d’Alger, après la guerre de 1914-1918.",Médaille d’honneur en 1902. Médaille de troisième classe en 1905. Mention honorable en 1910. Médaille d’argent en 1914.,Note 1 : Date inconnue selon un membre de la famille.,XIX-XX,"IIIème République. Président : Félix Faure, 17 janvier 1895-18 février 1899",Ministère de l’Instruction publique. Direction des beaux-arts : Roujon. Bureau de l’enseignement et des manufactures nationales : Crost,Louis Larroumet (1898-1903),"Eugène Guillaume, (1891-1904). Villa Médicis","Il participe au Salon des artistes français de 1898 à 1914 (sociétaire).Il participe à la 2ème exposition internationale d’art colonial, Naples, 1934-35. 1er salon de la France d’Outremer, 1935.","""La Femme au singe"", 1908, Paris, musée du Petit-Palais.","État-civil, Archives de Tours. AJ 52 /335. | Archives du Salon des artistes français. | Pierre Sanchez. | Amato, Alain, ""Monuments en exil"". Paris, Éd. de l’Atlanthrope, 1979. (préface de Belmondo). Musée des beaux-arts de Tours, ""Les sculpteurs sortent de leurs réserves"", Catalogue d’exposition, Tours, Musée des beaux-arts, décembre 1988-avril 1989. Catalogues de ventes de l’Hôtel Drouot."
12,Jean Alaux,Q1232255,1786,15 January 1786,15 janvier 1786,Bordeaux (Gironde),1864,2 March 1864,2 mars 1864,Paris,"ALAUX, dit le Romain",Jean,male,"Pierre-Joseph Alaux, tapissier, né à Lautrec (Tarne) en 1756","Marie-Rose Gras-Lassale, née à Lautrec (Tarn) en 1762","Cinq générations de peintres et d’artistes. | Ils ont 3 fils : | - Jean-Pierre (1783-1858), décorateur | - Jean dit le Romain | - Jean-Paul dit Gentil (1788-1858), peintre d’histoire. | Jean dit le Romain est marié à Fanny Alaux, peintre.",peinture,"École des beaux-arts de Bordeaux (atelier Pierre Lacour). École nationale de peinture, de sculpture et d’architecture de Paris, 1807. Second prix de Rome en 1814.","Maîtres : François-André Vincent, Pierre-Narcisse Guérin.",1815,1815Brevet : octobre 1815,"""Briséis pleurant Patrocle ou Briseis rendue à Achille trouve dans sa tente le corps de Patrocle""",1815,18 décembre 1815. Pension à dater du 1er janvier 1816.,"Il travaille à la décoration de l’église de la Trinité des Monts. Il fait un voyage dans le sud de l’Italie, en 1818.",1820,"31 décembre 1820. Retour en France, le 21 juillet 1821.Second séjour à Rome de 1822 à 1824.","1817, 1ère année. Cadmus tuant le Dragon de la Fontaine de Dircé. | 1818, 2ème année. Diomède enlevant le Palladium. | 1819, 3ème année. Le fleuve Scamandre implorant Jupiter contre les feux de Vulcain. | 1820, 4ème année. Combat des Centaures et des Lapithes. Combat de Thésée et des Centaures.","Il reçoit des commandes officielles au retour de Rome. Membre de la Fondation Taylor, 1845.","Directeur de l’Académie de France à Rome, 1847-1852.","Médaille de première classe en 1824.Chevalier de la Légion d’honneur en 1848. Officier en 1849.Membre de l’Académie des Beaux-arts : élu le 22 février 1851, 1ère section, fauteuil IX.",,XIX,"Restauration : Louis XVIII, 6 avril 1814-23 septembre 1824","Ministère de l’Intérieur, 2e Direction : Barbier-Neuville. Bureau des sciences et beaux-arts : Grille (Pas de changement pendant les Cent jours selon Brunel)",Joachim Lebreton (1803-1815).,"Guillaume Guillon-Lethière, (1807-1816). Villa Médicis.",Il participe au salon de 1824 et 1827.,Il fait des décorations au Louvre et pour les galeries historiques de Versailles.,"Archives municipales de Bordeaux. Église Saint-André. Extrait de baptême 123/72. | Beulé, Charles Ernest, Institut impérial de France, Académie des beaux-arts, ""Discours prononcé aux funérailles de M. Alaux"", Paris : Didot, 1864. Notice «Jean Alaux». | Bonfait, Olivier, ""Maesta di Roma, da Napoleone all ’Unita d’Italia. D’Ingres à Degas. Les artistes français à Rome"", Rome : Villa Médicis, 2003. Milan : Electa, 2003. p 172."
13,Jean-Baptiste Alizard,Q21158217,1738,1738,1738,Compiègne (Oise) (Note 2),,,,,ALIZARD (Note 1),Jean-Baptiste,male,,,Un oncle abbé,peinture,Académie royale de peinture et de sculpture en 1759.École royale des élèves protégés : 1764-1766.,Jean-Baptiste Deshays de Colleville.,1764,"1764 31 août 1ers prix (Alizart, prix réservé de 1763) et François-Antoine Callet. Brevet du 26 août 1766.",Cléobis et Biton conduisent le char de leur mère au temple de Junon.,1766,8 décembre 1766 (note3),"Alizard ne fait pas beaucoup parler de lui. Lorsqu’il doit envoyer une académie, il explique qu’il n’a pas pu la terminer en raison de la canonisation des derniers saints. Il ne l’expédie qu’en 1768. Néanmoins, il demande une prolongation d’un an à l’Académie dans la mesure où il n’a eu que deux ans à l’École des élèves protégés. Le marquis de Marigny répond favorablement à sa demande.",1771,1er juin 1771,"1768, académie peinte.",Alizard travaille à Douai. Il acquiert les dessins du cabinet de Natoire. Membre de l’Académie de Saint-Luc (Alm.1776). Il va à Venise en 1777. Franc-maçon (Loge du Grand Orient «La Céleste Amitié» 1780).,,,"1) ou Alizart. On trouve également dans la Correspondance, Elizar, Elisar ou Alesar. | 2) D’après le brevet d’élève, J.B. Alizard est enregistré comme «natif de Compiègne, âgé de 28 ans» et non de Douai ou «probablement de Flandre française» comme le suggèrent d’autres sources. (Corr. XII, 123). | 3) Autre erreur signalée par Lapauze, p. 256 : Courajod fait partir Alizard en août 1770. Dans la Correspondance, il est précisé : «Alesar est arrivé le 8 décembre 1766» (État des pensionnaires, A.N. O119352). | 4) Une protestation de peintres datée du 11 avril 1773 dénonce la permission obtenue par Alizard de copier les portraits du Roi et de la famille royale",XVIII,Louis XV (1743-1774),Marquis de Marigny (1751-1774),,"Charles Natoire, (1751-1775). Palais Mancini.",,"Il peint Cléobis et Biton et Le massacre des Innocents, en 1776, pour l’abbaye Saint-Sauveur d’Anchin. | Portraitiste : Comte d’Artois, 1773, Princesse Maria-Teresa de Savoie, Reine de France Marie-Antoinette (Note 4).","PV. VII, 246. Corr. XII, 126. Sanchez, 45. AKL 1992, 420. Guiffrey, J., «Histoire de l’Académie Saint-Luc», AAF, nouvelle période, tome IX, 1914-1915. | Beliawskaya, Wera, «Jean-Baptiste ALIZART» dans Zeitschift für bildende Kunst, 63ème année, 1929/30. | Sandoz, M., Gabriel Briard. Paris, Éditart Quatrechemins, 1981. (Une notice sur J.B.Alizard dans l’avant-propos, p.7)."
14,Allais,Q98672603,1706,1706,Né vers 1706,,1762,1762,1762,Paris,ALLAIS (Note 1),,male,,,Probablement le père de Pierre Allais. (Note 2),peinture,Académie royale de peinture et de sculpture en 1726,,1726,"31 août 1726, 1er prix.",non retrouvé (Guiffrey).,,Présence non attestée à l’Académie de France à Rome.,,,,,Reçu à l’Académie de Saint-Luc le 16 janvier 1745.,Adjoint à professeur (1753-1756),,"1) Sans prénom. « Plutôt qu’à son fils Pierre Allais (qui meurt en 1781) ce portrait nous semble devoir être rendu à Allais, peintre uniquement mentionné par son nom dont on sait qu’il exposa régulièrement à l’Académie de Saint-Luc où il fit carrière (il expose en 1751 quatre portraits, y est adjoint-professeur » (Source Drouot-Richelieu). | 2) Les biographes confondent les carrières du père et du fils. Dans le Fichier Laborde, il y a un Allais Jacques-Charles (peintre de l’Ancien Régime), cote : 16541.",XVIII,Louis XV / Duc de Bourbon (1723-1726),Duc d’Antin (1708-1736),,"Nicolas Vleughels, (1725-1737). Palais Mancini.","Allais expose des portraits au pastel et à l’huile au Salon, de 1751 à 1756.",Portraits au pastel et à l’huile,"PV. V, 14. N’est pas cité dans la Table de la Correspondance. AKL 1992. | Jeffares, Neil, ""Dictionary of Pastellists before 1800"", Introduction Pierre Rosenberg, London, Unicom Press, 2006."
15,André-Joseph Allar,Q2847071,1845,22 August 1845,22 août 1845,Toulon (Var).,1926,11 April 1926,le 11 avril 1926 (d'une chute dans son atelier),Toulon (Var).,ALLAR,André-Joseph,male,"Benoît-David-César, ouvrier perceur, employé de l’arsenal de Toulon.",Marie-Hélaine Balloro.,,sculpture,"Cours de dessin à l’Arsenal de Toulon, (Édouard Cauvin), atelier Duthoit. 1860-1862. | Études de sculpture à Marseille (1863-1866). | A Paris, Cours de Jean-Baptiste Guillaume (1863). | École impériale et spéciale des Beaux-arts de Paris. Admis le 15 octobre 1866 (Bourse de la ville de Toulon).","Pierre-Jules Cavelier, Antoine Dantan, Jean-Baptiste Guillaume",1869,1869,"Alexandre buvant, tandis que son médécin Philippe lit la lettre de Parménion. (Jury spécial).",1870,17 janvier 1870. Pension à dater du 1er janvier 1870.,Voir Envois,1873,31 décembre 1873,"1870, 1ère année. Hécube retrouvant le corps de son fils au bord du rivage. Bas-relief en plâtre. | 1871, 2ème année. L’Enfant des Abruzzes. | 1873, 4ème année. Pas d’envoi. (Un seul envoi en sculpture cette année-là, d’où un blâme général de l’Académie)","il reçoit de nombreuses commandes officielles (Sorbonne, Hôtel de ville, Grand Palais, Opéra comique, etc.). Il collabore avec des orfèvres.","Professeur à l’École des beaux-arts de Toulon. Professeur de modelage à l’École des beaux-arts de Paris, le 23 février 1891. Il remplace Eugène Delaplanche qui est remplacé à son tour par Louis-Silvestre Gasse en 1926. Conseil supérieur de l’Enseignement des beaux-arts, 1912.","Médaille de première classe au Salon en 1873. Médaille de première classe à l’Exposition universelle de 1878. Médaille d’honneur en 1882. Médaille d’or aux expositions universelles de 1889 et 1900. Hors-concours. | Chevalier de la Légion d’honneur en 1878. Officier en 1896. Membre de l’Académie des beaux-arts : élu le 20 mai 1905. Vice-président, président en 1918, 2ème section, fauteuil III.",,XIX,"Second Empire : Napoléon III, 2 décembre 1852-4 septembre 1870",Ministère de la Maison de l’Empereur et des beaux-arts. Surintendance des beaux-arts : Comte de Nieuwekerke. Directeur : Tournois. Bureau des beaux-arts : Alexandre.,Charles-Ernest Beulé (1862-1874).,"Ernest Hébert (Premier directorat), (1867-1872). Villa Médicis.","Il participe au Salon de Paris puis au Salon des artistes français à partir de 1873, 1874-1896, 1900, 1901, 1904, 1905, 1906, 1908, 1910, 1912, 1913, 1914. Membre de la Société des artistes français. membre du jury du Salon, 1883, 1885, 1886, 1891. Il expose au Salon des artistes marseillais et à l’Association des artistes marseillais.","Il exécute le ""Monument commémorant le premier rattachement de Nice à la France"" inauguré en 1896.","AJ52 321. État civil, mairie de Toulon n° 3357. | Archives du Salon des artistes français. | Dictionnaires : Bellier de la Chavignerie, Vapereau, ThB, Bénézit (mentionne 1865 comme date de naissance).Joseph. | Landowski, Paul, Institut de France, Notice sur la vie et les œuvres de M. André Allar, Publications de l’Institut, n° 22, Paris, Firmin Didot et cie, 1932. | Noël, Laurent, Vie et œuvre du sculpteur André Allar, 1845-1926 [Texte imprimé] : catalogue raisonné, Paris, Mare et Martin, 2008."
