record_id,portraited_person,wikidata_id,filename,creator,name_norm,creator_wikidata_id,created,description,format,publisher,rights,source,subject,original_filename,size
12,Jean Alaux (1786-1864),Q1232255,efc3ae9b0d4b92c55ace93faf87d708a.jpg,Léon Cogniet,Léon Cogniet,Q544646,1817,"huile, toile, collé, contreplaqué",22 cm x 32 cm,Académie de France à Rome,Villa Médicis,Cote : 2016.0.23,portrait,23_3.jpg,116798
15,André-Joseph Allar (1845-1926),Q2847071,48c2b130fa17033cbe9fa3ed04b579a7.jpg,Fernand Lematte,Fernand Lematte,Q1406521,1869,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.267,portrait,ALLAR.jpg,135949
19,Gabriel-Auguste Ancelet (1829-1895),Q2395903,ec0b97ad7a4a6aa830bd24a3504e20e4.jpg,Émile Lévy,Émile Lévy,Q3588633,1856,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.180,portrait,ANCELET.jpg,157672
21,Louis-Jules André (1819-1890),Q3260671,8db0e322abd0cc2c7f99608e88bf8ef5.jpg,Eugène Lenepveu,Eugène Lenepveu,Q1543513,1853,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.162,portrait,ANDRÉ Louis.jpg,109236
30,Jean-Ernest Aubert (1824-1906),Q5562173,eaf0ffee7d451b63e53e11e599c69eea.jpg,Félix-Joseph Barrias,Félix-Joseph Barrias,Q3092343,1850,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.149,portrait,AUBERT.jpg,83317
42,Théodore Ballu (1817-1885),Q690231,7ec4d84cc3722de38098a4795485511f.jpg,Pierre-Nicolas Brisset,Pierre-Nicolas Brisset,Q2088153,1845,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.128,portrait,BALLU.jpg,154708
45,Auguste Barbereau (1799-1879),Q766115,159f5683c2df84fb74d26f7017b83480.jpg,anonymous,anonymous,Q4233718,1825-1826,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.62,portrait,BARBEREAU.jpg,380138
53,Félix-Joseph Barrias (1822-1907),Q3092343,0dcba6eb1d8af564cf5a1a57d340aff7.jpg,Félix-Joseph Barrias,Félix-Joseph Barrias,Q3092343,1850,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.146,auto-portrait,BARRIAS F..jpg,122493
54,Louis-Ernest Barrias (1841-1905),Q1289500,81810657f8b54fceab8aac52c864a8c0.jpg,Jules Louis Machard,Jules Louis Machard,Q3188753,1865,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.249,portrait,BARRIAS le jeune.jpg,149586
56,Gratien-Norbert-Adrien Barthe (1828-1898),Q106509842,32f1fdfcbca90e476bd59a5ca0072473.jpg,Théodore Pierre Nicolas Maillot,Théodore Pierre Nicolas Maillot,Q31941765,1856,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.192,portrait,BARTHE Gratien.jpg,117256
58,Raymond Barthélemy (1833-1902),Q3420661,35894210d55441cceb661a0d3c9aa16d.jpg,Ernest Michel,Ernest Michel,Q3057087,1866,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.222,portrait,BARTHÉLÉMY.jpg,101220
64,Paul-Jacques-Aimé Baudry (1828-1886),Q911575,fa31105d526d41a9bd21e373c944ab2a.jpg,Paul-Jacques-Aimé Baudry,Paul-Jacques-Aimé Baudry,Q911575,1851-1855,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.174,auto-portrait,BAUDRY.jpg,196509
67,François Bazin (1816-1878),Q633817,380ada512be5a0b06431f4b575bb0473.jpg,Pierre-Nicolas Brisset,Pierre-Nicolas Brisset,Q2088153,1842,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.130,portrait,BAZIN.jpg,142020
75,Charles-Alphonse-Paul Bellay (1826-1900),Q2957923,70bb5dcd573b73b6c7a94999b4ecb87b.jpg,Théodore Pierre Nicolas Maillot,Théodore Pierre Nicolas Maillot,Q31941765,1858,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.184,portrait,BELLAY.JPG,89881
79,Émile Bénard (1844-1929),Q8078267,0d6fede88ff8633b869ac756ce3abd3e.jpg,Fernand Lematte,Fernand Lematte,Q1406521,1870,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.260,portrait,BÉNARD Henri.jpg,126645
83,François Benoist (1794-1878),Q1450915,5e2194df3b9591b55b57159ab4523236.jpg,Jean Alaux,Jean Alaux,Q1232255,1815,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.18,portrait,BENOIST.JPG,65797
85,Jean-Achille Benouville (1815-1891),Q1684579,6f283fd17ea70e843b3580a6ca53ff95.jpg,François-Léon Benouville,François-Léon Benouville,Q1341719,1845-1850,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.153,portrait,BÉNOUVILLE .jpg,126774
