"id","item_id","latitude","longitude","zoom_level","map_type","address"
1,1283,49.634360599999994,-1.6285686907490189,5,Leaflet,Cherbourg
265,6,50.3579317,3.5234846,8,Leaflet,Valenciennes+(Nord) 
266,7,49.9246182,1.0791444,8,Leaflet,Dieppe+(Seine-Maritime) 
267,8,48.6937223,6.1834097,8,Leaflet,Nancy+(Meurthe-et-Moselle) 
268,9,48.6937223,6.1834097,8,Leaflet,Nancy+(Meurthe-et-Moselle); 
269,10,21.01758025,105.7839485928,8,Leaflet,Hanoï+(Viet-Nam). 
270,11,47.3900474,0.6889268,8,Leaflet,Tours+(Indre+et+Loire). 
271,12,44.841225,-0.5800364,8,Leaflet,Bordeaux+(Gironde). 
272,13,49.4179497,2.8263171,8,Leaflet,Compiègne+(Oise) 
273,15,43.1257311,5.9304919,8,Leaflet,Toulon+(Var). 
274,16,48.8566101,2.3514992,8,Leaflet,Paris 
275,17,48.8566101,2.3514992,8,Leaflet,Paris 
276,18,43.3426562,3.2131307,8,Leaflet,Béziers+(+Hérault). 
277,19,48.8566101,2.3514992,8,Leaflet,Paris. 
278,20,48.8566101,2.3514992,8,Leaflet,Paris. 
279,21,48.8566101,2.3514992,8,Leaflet,Paris. 
280,22,48.8566101,2.3514992,8,Leaflet,Paris 
281,26,49.5077565,0.1734364,8,Leaflet,Le+Havre+(Seine+Maritime) 
282,27,43.7391605,7.428023,8,Leaflet,Monte+Carlo+(Principauté+de+Monaco). 
283,28,50.6915893,3.1741734,8,Leaflet,Roubaix+(Nord). 
284,29,44.841225,-0.5800364,8,Leaflet,Bordeaux+(Gironde). 
285,30,48.84081555,2.3883690340401,8,Leaflet,Paris+(12ème+arrondissement). 
286,31,48.8566101,2.3514992,8,Leaflet,Paris. 
287,32,41.9263991,8.7376029,8,Leaflet,Ajaccio+(Corse+du+Sud) 
288,33,48.8035403,2.1266886,8,Leaflet,Versailles+(Yvelines)
289,34,36.06065675,5.5080976150081,8,Leaflet,Sétif+(Algérie). 
290,35,45.7578137,4.8320114,8,Leaflet,Lyon+(Rhône). 
291,36,48.8566101,2.3514992,8,Leaflet,Paris 
292,38,47.6703129,-0.2458621,8,Leaflet,Durtal+(Maine+et+Loire). 
293,39,43.4698716,3.3422051,8,Leaflet,Alignan-du-Vent+(Hérault). 
294,40,48.8566101,2.3514992,8,Leaflet,Paris. 
295,41,48.8566101,2.3514992,8,Leaflet,Paris 
296,42,48.8566101,2.3514992,8,Leaflet,Paris. 
297,43,48.8566101,2.3514992,8,Leaflet,Paris. 
298,45,48.8566101,2.3514992,8,Leaflet,Paris. 
299,46,46.208056,-1.515833,8,Leaflet,Ars-en-Ré+(Charente+Maritime). 
